2025-05-02 00:02:50 - INFO - [SETUP] Connected to 127.0.0.1:50000 with response: 
2025-05-02 00:02:50 - INFO - [SETUP] Server started on port 50001
2025-05-02 00:02:50 - INFO - [RAFT] No leader. Becoming candidate for term 1.
2025-05-02 00:02:50 - INFO - [RAFT] Server 1 election timeout as candidate. Starting new election for term 1.
2025-05-02 00:02:50 - INFO - [RAFT] Sent vote request to 127.0.0.1:50000 with response: 
2025-05-02 00:02:50 - INFO - [RAFT] Server 1 did not win election for term 1.
2025-05-02 00:02:50 - INFO - [RAFT] Received VoteRequest: term=-1, candidate_id=0, last_log_index=0, last_log_term=0
2025-05-02 00:02:52 - INFO - [RAFT] Received VoteRequest: term=1, candidate_id=0, last_log_index=-1, last_log_term=0
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:41 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:42 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:42 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:42 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:42 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:42 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:42 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:42 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:42 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:42 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:43 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:44 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:44 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:44 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:44 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:44 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:44 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:44 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:44 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:44 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:45 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:45 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:45 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:45 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:45 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:45 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:45 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:45 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:45 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:46 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:47 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:47 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:47 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:47 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:47 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:47 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:47 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:47 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:47 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:48 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:48 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:48 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:48 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:48 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:48 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:48 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:48 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:48 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:49 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:50 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:50 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:50 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:50 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:50 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:50 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:50 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:50 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:50 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:51 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:52 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:52 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:52 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:52 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:52 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:52 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:52 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:52 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:52 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:53 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:53 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:53 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:53 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:53 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:53 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:53 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:53 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:53 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:54 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:55 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:56 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
2025-05-02 00:03:57 - INFO - [RAFT] Received AppendEntriesRequest: term=1, leader_address=127.0.0.1:50000, most_recent_log_idx=3, term_of_recent_log=1, leader_commit=3
